"marker_id","chr","pos"
"60154256-4",4,60.154256
"60508075-4",4,60.508075
"60747990-4",4,60.74799
"60826842-4",4,60.826842
"60868798-4",4,60.868798
"60983181-4",4,60.983181
"61083233-4",4,61.083233
"61414168-4",4,61.414168
"61682770-4",4,61.68277
"61687387-4",4,61.687387
"61844252-4",4,61.844252
"61932880-4",4,61.93288
"62073659-4",4,62.073659
"62307380-4",4,62.30738
"62503027-4",4,62.503027
"62741191-4",4,62.741191
"62766820-4",4,62.76682
"62954169-4",4,62.954169
"62988849-4",4,62.988849
"63202220-4",4,63.20222
"63397542-4",4,63.397542
"63488407-4",4,63.488407
"63662416-4",4,63.662416
"63822598-4",4,63.822598
"63891980-4",4,63.89198
"266350-5",5,0.26635
"416826-5",5,0.416826
"1860363-5",5,1.860363
"2166180-5",5,2.16618
"2237667-5",5,2.237667
"2355555-5",5,2.355555
"2448140-5",5,2.44814
"2515347-5",5,2.515347
"2532223-5",5,2.532223
"2654491-5",5,2.654491
"2708067-5",5,2.708067
"2732300-5",5,2.7323
"2830182-5",5,2.830182
"2861322-5",5,2.861322
"3036208-5",5,3.036208
"3184840-5",5,3.18484
"3353367-5",5,3.353367
"3478382-5",5,3.478382
"3786347-5",5,3.786347
"4037084-5",5,4.037084
"4135281-5",5,4.135281
"4313680-5",5,4.31368
"4419355-5",5,4.419355
"4467534-5",5,4.467534
"4710231-5",5,4.710231
"5016059-5",5,5.016059
"5155694-5",5,5.155694
"5329022-5",5,5.329022
"5457523-5",5,5.457523
"5763607-5",5,5.763607
"5826600-5",5,5.8266
"6145947-5",5,6.145947
"6502606-5",5,6.502606
"6711222-5",5,6.711222
"6814373-5",5,6.814373
"7031168-5",5,7.031168
"7268570-5",5,7.26857
"7487704-5",5,7.487704
"7534051-5",5,7.534051
"31952984-5",5,31.952984
"43033788-5",5,43.033788
"48684299-5",5,48.684299
"50536603-5",5,50.536603
"58486640-5",5,58.48664
"59109515-5",5,59.109515
"59447361-5",5,59.447361
"59634513-5",5,59.634513
"59786600-5",5,59.7866
"59786622-5",5,59.786622
"59856707-5",5,59.856707
"60342410-5",5,60.34241
"60422379-5",5,60.422379
"60619277-5",5,60.619277
"62101535-5",5,62.101535
"62308145-5",5,62.308145
"62370844-5",5,62.370844
"62456014-5",5,62.456014
"62570204-5",5,62.570204
"933851-6",6,0.933851
"1178296-6",6,1.178296
"1339349-6",6,1.339349
"1625639-6",6,1.625639
"1855405-6",6,1.855405
"2043158-6",6,2.043158
"2983847-6",6,2.983847
"3503077-6",6,3.503077
"3634383-6",6,3.634383
"5853322-6",6,5.853322
"9032698-6",6,9.032698
"10705136-6",6,10.705136
"15536411-6",6,15.536411
"15587199-6",6,15.587199
"17980595-6",6,17.980595
"22135507-6",6,22.135507
"28105507-6",6,28.105507
"28599578-6",6,28.599578
"28713191-6",6,28.713191
"28759606-6",6,28.759606
"29136714-6",6,29.136714
"29163698-6",6,29.163698
"29454322-6",6,29.454322
"29683928-6",6,29.683928
"30152377-6",6,30.152377
"31255845-6",6,31.255845
"31371391-6",6,31.371391
"31570910-6",6,31.57091
"31973505-6",6,31.973505
"32090367-6",6,32.090367
"32202956-6",6,32.202956
"33676754-6",6,33.676754
"33795634-6",6,33.795634
"33947553-6",6,33.947553
"33993965-6",6,33.993965
"34101367-6",6,34.101367
"34172904-6",6,34.172904
"34264933-6",6,34.264933
"34684902-6",6,34.684902
"34819610-6",6,34.81961
"35127834-6",6,35.127834
"35194454-6",6,35.194454
"35229841-6",6,35.229841
"35282947-6",6,35.282947
"35310848-6",6,35.310848
"35555888-6",6,35.555888
"35637379-6",6,35.637379
"35748330-6",6,35.74833
"35810227-6",6,35.810227
"36036855-6",6,36.036855
"36172334-6",6,36.172334
"36278604-6",6,36.278604
"36336315-6",6,36.336315
"36355674-6",6,36.355674
"36583622-6",6,36.583622
"36619479-6",6,36.619479
"36771580-6",6,36.77158
"37781104-6",6,37.781104
"37826619-6",6,37.826619
"37873562-6",6,37.873562
"38863011-6",6,38.863011
"38882790-6",6,38.88279
"38934868-6",6,38.934868
"39043469-6",6,39.043469
"39177610-6",6,39.17761
"39198088-6",6,39.198088
"39263767-6",6,39.263767
"39497335-6",6,39.497335
"39585101-6",6,39.585101
"39630736-6",6,39.630736
"39719588-6",6,39.719588
"40009629-6",6,40.009629
"40160110-6",6,40.16011
"40190329-6",6,40.190329
"40243105-6",6,40.243105
"40307180-6",6,40.30718
"40594867-6",6,40.594867
"41153362-6",6,41.153362
"41164804-6",6,41.164804
"41197086-6",6,41.197086
"41222645-6",6,41.222645
"41440942-6",6,41.440942
"41664102-6",6,41.664102
"41720514-6",6,41.720514
"41810492-6",6,41.810492
"41853344-6",6,41.853344
"42081887-6",6,42.081887
"42297379-6",6,42.297379
"42594226-6",6,42.594226
"42642644-6",6,42.642644
"42861765-6",6,42.861765
"43002117-6",6,43.002117
"43299966-6",6,43.299966
"43429790-6",6,43.42979
"43580814-6",6,43.580814
"43761285-6",6,43.761285
"44673006-6",6,44.673006
"44903420-6",6,44.90342
"1815095-7",7,1.815095
"1887401-7",7,1.887401
"1927455-7",7,1.927455
"2090681-7",7,2.090681
"3317534-7",7,3.317534
"28076245-7",7,28.076245
"55233438-7",7,55.233438
"55492731-7",7,55.492731
"55827183-7",7,55.827183
"56260355-7",7,56.260355
"56433585-7",7,56.433585
"56594245-7",7,56.594245
"56923597-7",7,56.923597
"56968543-7",7,56.968543
"57044895-7",7,57.044895
"57276727-7",7,57.276727
"57880708-7",7,57.880708
"58245665-7",7,58.245665
"58387931-7",7,58.387931
"58764025-7",7,58.764025
"58991889-7",7,58.991889
"60287669-7",7,60.287669
"60514730-7",7,60.51473
"60617620-7",7,60.61762
"60949357-7",7,60.949357
"60988511-7",7,60.988511
"61068415-7",7,61.068415
"61278841-7",7,61.278841
"61450244-7",7,61.450244
"61490903-7",7,61.490903
"18326-8",8,0.018326
"197152-8",8,0.197152
"426863-8",8,0.426863
"677500-8",8,0.6775
"697373-8",8,0.697373
"749732-8",8,0.749732
"807281-8",8,0.807281
"977990-8",8,0.97799
"1068541-8",8,1.068541
"1149764-8",8,1.149764
"2908556-8",8,2.908556
"15684236-8",8,15.684236
"50811756-8",8,50.811756
"55711832-8",8,55.711832
"55720913-8",8,55.720913
"55776545-8",8,55.776545
"56026137-8",8,56.026137
"56057431-8",8,56.057431
"56674223-8",8,56.674223
"56878278-8",8,56.878278
"57194846-8",8,57.194846
"57382614-8",8,57.382614
"57429246-8",8,57.429246
"57595067-8",8,57.595067
"57706003-8",8,57.706003
"58825288-8",8,58.825288
"59267650-8",8,59.26765
"59490918-8",8,59.490918
"59591639-8",8,59.591639
"59709130-8",8,59.70913
"59859286-8",8,59.859286
"59977315-8",8,59.977315
"60032891-8",8,60.032891
"60131140-8",8,60.13114
"60152946-8",8,60.152946
"60508663-8",8,60.508663
"60673054-8",8,60.673054
"62657015-8",8,62.657015
"48822-9",9,0.048822
"107066-9",9,0.107066
"372792-9",9,0.372792
"1303826-9",9,1.303826
"1751745-9",9,1.751745
"1836261-9",9,1.836261
"1917918-9",9,1.917918
"1958018-9",9,1.958018
"2109697-9",9,2.109697
"2124025-9",9,2.124025
"2247148-9",9,2.247148
"2411368-9",9,2.411368
"3440493-9",9,3.440493
"3502151-9",9,3.502151
"3529984-9",9,3.529984
"3826342-9",9,3.826342
"3951301-9",9,3.951301
"3987331-9",9,3.987331
"4113674-9",9,4.113674
"4714567-9",9,4.714567
"5037538-9",9,5.037538
"5399729-9",9,5.399729
"5837219-9",9,5.837219
"6048979-9",9,6.048979
"17049513-9",9,17.049513
"21283343-9",9,21.283343
"57807588-9",9,57.807588
"58088185-9",9,58.088185
"59327238-9",9,59.327238
"59830549-9",9,59.830549
"60416925-9",9,60.416925
"60487661-9",9,60.487661
"60676124-9",9,60.676124
"60746121-9",9,60.746121
"60878948-9",9,60.878948
"60907021-9",9,60.907021
"61256180-9",9,61.25618
"61607962-9",9,61.607962
"61700076-9",9,61.700076
"61757837-9",9,61.757837
"62098389-9",9,62.098389
"62161978-9",9,62.161978
"62248589-9",9,62.248589
"62423755-9",9,62.423755
"62482718-9",9,62.482718
"62496837-9",9,62.496837
"62632398-9",9,62.632398
"62896769-9",9,62.896769
"62985564-9",9,62.985564
"63010532-9",9,63.010532
"63211245-9",9,63.211245
"63302176-9",9,63.302176
"63537281-9",9,63.537281
"63841340-9",9,63.84134
"64089133-9",9,64.089133
"64117210-9",9,64.11721
"64117471-9",9,64.117471
"64293000-9",9,64.293
"64794163-9",9,64.794163
"64960323-9",9,64.960323
"65052379-9",9,65.052379
"65062496-9",9,65.062496
"65152660-9",9,65.15266
"65285997-9",9,65.285997
"65468989-9",9,65.468989
"65685493-9",9,65.685493
"65814934-9",9,65.814934
"65923428-9",9,65.923428
"66074223-9",9,66.074223
"66164836-9",9,66.164836
"66260125-9",9,66.260125
"66398300-9",9,66.3983
"66518095-9",9,66.518095
"66561219-9",9,66.561219
"66709832-9",9,66.709832
"66807440-9",9,66.80744
"66922510-9",9,66.92251
"67115755-9",9,67.115755
"67231827-9",9,67.231827
"67309270-9",9,67.30927
"67604745-9",9,67.604745
"274856-10",10,0.274856
"536207-10",10,0.536207
"1686543-10",10,1.686543
"2312299-10",10,2.312299
"2527359-10",10,2.527359
"4324132-10",10,4.324132
"6380291-10",10,6.380291
"15293000-10",10,15.293
"16020522-10",10,16.020522
"20239670-10",10,20.23967
"23394403-10",10,23.394403
"24477744-10",10,24.477744
"61003816-10",10,61.003816
"61659403-10",10,61.659403
"61915769-10",10,61.915769
"62354236-10",10,62.354236
"62966801-10",10,62.966801
"63534969-10",10,63.534969
"63663729-10",10,63.663729
"64253034-10",10,64.253034
"64633271-10",10,64.633271
"4106861-11",11,4.106861
"4629970-11",11,4.62997
"4775241-11",11,4.775241
"4938154-11",11,4.938154
"5148492-11",11,5.148492
"5174517-11",11,5.174517
"5279605-11",11,5.279605
"5329725-11",11,5.329725
"5472582-11",11,5.472582
"5624269-11",11,5.624269
"5702919-11",11,5.702919
"5955570-11",11,5.95557
"6497292-11",11,6.497292
"7105510-11",11,7.10551
"7159216-11",11,7.159216
"7485844-11",11,7.485844
"7599013-11",11,7.599013
"7857508-11",11,7.857508
"8357644-11",11,8.357644
"23203939-11",11,23.203939
"46409027-11",11,46.409027
"47009022-11",11,47.009022
"47411518-11",11,47.411518
"47543161-11",11,47.543161
"48283991-11",11,48.283991
"48586795-11",11,48.586795
"48825658-11",11,48.825658
"48874317-11",11,48.874317
"49292479-11",11,49.292479
"49758581-11",11,49.758581
"49910398-11",11,49.910398
"50040024-11",11,50.040024
"50278394-11",11,50.278394
"50323366-11",11,50.323366
"50387512-11",11,50.387512
"50537278-11",11,50.537278
"50584170-11",11,50.58417
"50659272-11",11,50.659272
"50710229-11",11,50.710229
"50827722-11",11,50.827722
"51059210-11",11,51.05921
"51097323-11",11,51.097323
"51208173-11",11,51.208173
"51306863-11",11,51.306863
"51419794-11",11,51.419794
"51721878-11",11,51.721878
"51886101-11",11,51.886101
"51894451-11",11,51.894451
"51937609-11",11,51.937609
"52219825-11",11,52.219825
"52283414-11",11,52.283414
"52536644-11",11,52.536644
"52635542-11",11,52.635542
"52769005-11",11,52.769005
"52815491-11",11,52.815491
"52849899-11",11,52.849899
"52958873-11",11,52.958873
"53090990-11",11,53.09099
"53185434-11",11,53.185434
"53249226-11",11,53.249226
"6718-12",12,0.006718
"286790-12",12,0.28679
"497912-12",12,0.497912
"542585-12",12,0.542585
"740334-12",12,0.740334
"802039-12",12,0.802039
"890622-12",12,0.890622
"1071458-12",12,1.071458
"1118438-12",12,1.118438
"1423611-12",12,1.423611
"1701268-12",12,1.701268
"1971371-12",12,1.971371
"2086412-12",12,2.086412
"2269467-12",12,2.269467
"2496656-12",12,2.496656
"2714105-12",12,2.714105
"2817040-12",12,2.81704
"2820696-12",12,2.820696
"2864634-12",12,2.864634
"3049933-12",12,3.049933
"3116998-12",12,3.116998
"3471392-12",12,3.471392
"3713523-12",12,3.713523
"3828496-12",12,3.828496
"3842918-12",12,3.842918
"3920250-12",12,3.92025
"4396546-12",12,4.396546
"4679131-12",12,4.679131
"6238531-12",12,6.238531
"43614721-12",12,43.614721
"44550893-12",12,44.550893
"44987172-12",12,44.987172
"45608784-12",12,45.608784
"47269280-12",12,47.26928
"47342300-12",12,47.3423
"47844891-12",12,47.844891
"48063454-12",12,48.063454
"48188286-12",12,48.188286
"48206805-12",12,48.206805
"48238889-12",12,48.238889
"48270556-12",12,48.270556
"48357587-12",12,48.357587
"48376549-12",12,48.376549
"48399429-12",12,48.399429
"48438942-12",12,48.438942
"48484056-12",12,48.484056
"62005719-12",12,62.005719
"62039841-12",12,62.039841
"62247098-12",12,62.247098
"62354175-12",12,62.354175
"62420692-12",12,62.420692
"62534395-12",12,62.534395
"62576889-12",12,62.576889
